Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1422903,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,CO,80224,Web,6/16/2015,6/16/2015,"PennyMac Loan Services, LLC",Closed with explanation,Yes,
1422885,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,GA,30316,Web,6/16/2015,6/16/2015,Equifax,Closed with non-monetary relief,Yes,Yes
1423342,Credit reporting,,Incorrect information on credit report,Information is not mine,MA,2171,Web,6/16/2015,6/18/2015,Equifax,Closed with explanation,Yes,Yes
1423667,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,94578,Web,6/16/2015,6/18/2015,"Enhanced Recovery Company, LLC",Closed with explanation,Yes,
1423013,Bank account or service,Savings account,"Account opening, closing, or management",,AR,72058,Phone,6/16/2015,6/17/2015,Wells Fargo,Closed with non-monetary relief,Yes,Yes
1423328,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98059,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,Yes
1423098,Bank account or service,Checking account,Deposits and withdrawals,,PA,19115,Web,6/16/2015,6/16/2015,Wells Fargo,Closed with explanation,Yes,
1423066,Bank account or service,Checking account,Deposits and withdrawals,,FL,32233,Referral,6/16/2015,6/17/2015,Bank of America,In progress,Yes,
1423064,Consumer loan,Vehicle loan,Managing the loan or lease,,SC,29706,Web,6/16/2015,6/16/2015,DriveTime,Closed with explanation,Yes,Yes
1423026,Credit card,,Late fee,,VA,22911,Web,6/16/2015,6/16/2015,Citibank,Closed with monetary relief,Yes,
1423063,Debt collection,Credit card,Improper contact or sharing of info,Contacted employer after asked not to,RI,2817,Web,6/16/2015,6/16/2015,"Client Services, Inc.",Closed with explanation,Yes,
1423091,Credit reporting,,Incorrect information on credit report,Account terms,TX,78676,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,Yes
1423080,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,79706,Web,6/16/2015,6/18/2015,"R & R Collection Service, Inc.",Closed with explanation,Yes,
